Uroviricota	Hofneiviricota	Phixviricota	Lenarviricota	Preplasmiviricota	Produgelaviricota	Dividoviricota
PHROG_648						
PHROG_649						
PHROG_650						
PHROG_651						
PHROG_652						
PHROG_653						
PHROG_654						
PHROG_655						
PHROG_656						
PHROG_657						
PHROG_658						
PHROG_659						
PHROG_660						
PHROG_661						
PHROG_662						
PHROG_663						
PHROG_664						
PHROG_665						
PHROG_666						
PHROG_667						
PHROG_668						
PHROG_669						
PHROG_670						
PHROG_671						
PHROG_672						
PHROG_673						
PHROG_674						
PHROG_675						
PHROG_676						
PHROG_677						
PHROG_678						
PHROG_679						
PHROG_680						
PHROG_681						
PHROG_682						
PHROG_683						
PHROG_684						
PHROG_685						
PHROG_686						
PHROG_687						
PHROG_688						
PHROG_689						
PHROG_690						
PHROG_691						
PHROG_692						
PHROG_693						
PHROG_694						
PHROG_695						
PHROG_696						
PHROG_697						
PHROG_698						
PHROG_699						
PHROG_700						
PHROG_701						
PHROG_703						
PHROG_704						
PHROG_705						
PHROG_706						
PHROG_707						
PHROG_708						
PHROG_709						
PHROG_710						
PHROG_711						
PHROG_712						
PHROG_714						
PHROG_715						
PHROG_716						
PHROG_717						
PHROG_718						
PHROG_719						
PHROG_720						
PHROG_721						
PHROG_722						
PHROG_723						
PHROG_724						
PHROG_725						
PHROG_726						
PHROG_727						
PHROG_728						
PHROG_729						
PHROG_730						
PHROG_731						
PHROG_732						
PHROG_733						
PHROG_734						
PHROG_735						
PHROG_736						
PHROG_737						
PHROG_738						
PHROG_739						
PHROG_740						
PHROG_741						
PHROG_742						
PHROG_743						
PHROG_744						
PHROG_745						
PHROG_746						
PHROG_747						
PHROG_748						
PHROG_749						
PHROG_750						
PHROG_751						
PHROG_752						
PHROG_753						
PHROG_754						
PHROG_755						
PHROG_756						
PHROG_757						
PHROG_758						
PHROG_759						
PHROG_760						
PHROG_761						
PHROG_762						
PHROG_763						
PHROG_764						
PHROG_765						
PHROG_766						
PHROG_767						
PHROG_768						
PHROG_769						
PHROG_771						
PHROG_772						
PHROG_773						
PHROG_774						
PHROG_775						
PHROG_776						
PHROG_777						
PHROG_778						
PHROG_779						
PHROG_780						
PHROG_781						
PHROG_782						
PHROG_783						
PHROG_784						
PHROG_786						
PHROG_787						
PHROG_788						
PHROG_789						
PHROG_790						
PHROG_791						
PHROG_792						
PHROG_793						
PHROG_794						
PHROG_795						
PHROG_796						
PHROG_797						
PHROG_798						
PHROG_799						
PHROG_800						
PHROG_801						
PHROG_802						
PHROG_803						
PHROG_804						
PHROG_805						
PHROG_806						
PHROG_807						
PHROG_808						
PHROG_809						
PHROG_810						
PHROG_812						
PHROG_813						
PHROG_814						
PHROG_816						
PHROG_817						
PHROG_818						
PHROG_819						
PHROG_820						
PHROG_821						
PHROG_822						
PHROG_823						
PHROG_824						
PHROG_825						
PHROG_826						
PHROG_827						
PHROG_828						
PHROG_829						
PHROG_830						
PHROG_831						
PHROG_832						
PHROG_833						
PHROG_834						
PHROG_835						
PHROG_836						
PHROG_837						
PHROG_838						
PHROG_839						
PHROG_840						
PHROG_841						
PHROG_842						
PHROG_843						
PHROG_844						
PHROG_845						
PHROG_846						
PHROG_847						
PHROG_848						
