Ackermannviridae	Aggregaviridae	Aliceevansviridae	Alisviridae	Andersonviridae	Arenbergviridae	Asemoviridae	Assiduviridae	Atkinsviridae	Autolykiviridae	Autonotataviridae	Autoscriptoviridae	Autosignataviridae	Autotranscriptaviridae	Berryhillviridae	Blumeviridae	Casidaviridae	Casjensviridae	Chaseviridae	Chimalliviridae	Colingsworthviridae	Connertonviridae	Corticoviridae	Crevaviridae	Demerecviridae	Drexlerviridae	Duinviridae	Duneviridae	Ehrlichviridae	Epsomviridae	Felixviridae	Fiersviridae	Finnlakeviridae	Forsetiviridae	Fredfastierviridae	Grimontviridae	Guelinviridae	Helgolandviridae	Herelleviridae	Hodgkinviridae	Inoviridae	Intestiviridae	Jeanschmidtviridae	Kleczkowskaviridae	Konodaiviridae	Kruegerviridae	Kyanoviridae	Lakviridae	Lindbergviridae	Ludisviridae	Madridviridae	Matsushitaviridae	Mazoviaviridae	Mestraviridae	Mesyanzhinovviridae	Microviridae	Mktvariviridae	Molycolviridae	Naomviridae	Nixviridae	Obscuriviridae	Orlajensenviridae	Pachyviridae	Parnassusviridae	Paulinoviridae	Peduoviridae	Pervagoviridae	Plasmaviridae	Plectroviridae	Pootjesviridae	Rountreeviridae	Saffermanviridae	Salasmaviridae	Sarkviridae	Schitoviridae	Solspiviridae	Stackebrandtviridae	Stanwilliamsviridae	Steigviridae	Steitzviridae	Straboviridae	Suoliviridae	Tectiviridae	Toyamaviridae	Trautnerviridae	Umezonoviridae	Vandenendeviridae	Vilmaviridae	Winoviridae	Zierdtviridae	Zobellviridae
PHROG_3271				PHROG_4327	PHROG_10581																			PHROG_4605					PHROG_3810													PHROG_11594	PHROG_11394			PHROG_552	PHROG_9638									PHROG_13464													PHROG_14658								PHROG_12208			PHROG_1045										
PHROG_3362				PHROG_4330	PHROG_10646																			PHROG_4731					PHROG_3869													PHROG_11604	PHROG_11725			PHROG_554	PHROG_9690									PHROG_13745													PHROG_14892								PHROG_12271			PHROG_1049										
PHROG_3465				PHROG_4332	PHROG_10922																			PHROG_4760					PHROG_4218													PHROG_11660	PHROG_13415			PHROG_564	PHROG_10948									PHROG_14089													PHROG_16259								PHROG_12661			PHROG_1051										
PHROG_3503				PHROG_4343	PHROG_10938																			PHROG_4804					PHROG_4245													PHROG_11674	PHROG_13558			PHROG_566	PHROG_11324									PHROG_14176													PHROG_18621								PHROG_12682			PHROG_1056										
PHROG_3594				PHROG_4348	PHROG_11029																			PHROG_4815					PHROG_4339													PHROG_11813	PHROG_13772			PHROG_568	PHROG_11371									PHROG_14248													PHROG_19384								PHROG_12762			PHROG_1064										
PHROG_3629				PHROG_4375	PHROG_11058																			PHROG_4820					PHROG_4376													PHROG_12055	PHROG_14393			PHROG_570	PHROG_12131									PHROG_14369													PHROG_20259								PHROG_12953			PHROG_1076										
PHROG_3650				PHROG_4382	PHROG_11127																			PHROG_4821					PHROG_4717													PHROG_12078	PHROG_15542			PHROG_580	PHROG_12517									PHROG_14417													PHROG_23627								PHROG_13186			PHROG_1079										
PHROG_3661				PHROG_4385	PHROG_11190																			PHROG_4905					PHROG_4771													PHROG_12081	PHROG_16726			PHROG_591	PHROG_12942									PHROG_14557													PHROG_24694								PHROG_13285			PHROG_1086										
PHROG_3676				PHROG_4391	PHROG_11196																			PHROG_4979					PHROG_5470													PHROG_12083	PHROG_18980			PHROG_605	PHROG_13558									PHROG_14629													PHROG_25491								PHROG_33253			PHROG_1102										
PHROG_3707				PHROG_4397	PHROG_11259																			PHROG_4984					PHROG_5890													PHROG_12127	PHROG_23456			PHROG_627	PHROG_13964									PHROG_14815													PHROG_25848											PHROG_1111										
